"wordlist","separdate","country","ndays","notzero","maxdays","maxratio"
"anger","Before","AUS",1,"negative",10,0.769230769230769
"anger","Before","AUS",23,"zero",10,0.769230769230769
"anger","Before","AUS",2,"negative",10,0.769230769230769
"anger","Before","AUS",30,"zero",10,0.769230769230769
"anger","Before","AUS",2,"positive",10,0.769230769230769
"anger","Before","AUS",13,"zero",10,0.769230769230769
"anger","Before","AUS",1,"positive",10,0.769230769230769
"anger","Before","AUS",1,"zero",10,0.769230769230769
"anger","Before","AUS",4,"positive",10,0.769230769230769
"anger","Before","AUS",1,"zero",10,0.769230769230769
"anger","Before","AUS",1,"positive",10,0.769230769230769
"anger","Before","AUS",52,"zero",10,0.769230769230769
"anger","Before","AUS",1,"negative",10,0.769230769230769
"anger","Before","AUS",5,"zero",10,0.769230769230769
"anger","Before","AUS",2,"positive",10,0.769230769230769
"anger","Before","AUS",54,"zero",10,0.769230769230769
"anger","Before","AUS",1,"negative",10,0.769230769230769
"anger","Before","AUS",21,"zero",10,0.769230769230769
"anger","Before","AUS",2,"positive",10,0.769230769230769
"anger","Before","AUS",37,"zero",10,0.769230769230769
"anger","Before","AUS",1,"negative",10,0.769230769230769
"anger","Before","AUS",59,"zero",10,0.769230769230769
"anger","Before","AUS",1,"positive",10,0.769230769230769
"anger","Before","AUS",37,"zero",10,0.769230769230769
"anger","Before","AUS",4,"positive",10,0.769230769230769
"anger","Before","AUS",2,"zero",10,0.769230769230769
"anger","Before","AUS",1,"negative",10,0.769230769230769
"anger","Before","AUS",7,"zero",10,0.769230769230769
"anger","Before","AUS",10,"positive",10,0.769230769230769
"anger","Before","AUS",1,"zero",10,0.769230769230769
"anger","Before","AUS",1,"positive",10,0.769230769230769
"anger","Before","AUS",12,"zero",10,0.769230769230769
"anger","Before","AUT",3,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",3,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",3,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",4,"positive",9,0.209302325581395
"anger","Before","AUT",3,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",17,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",7,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",15,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",4,"zero",9,0.209302325581395
"anger","Before","AUT",2,"positive",9,0.209302325581395
"anger","Before","AUT",9,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",7,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",16,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",6,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",16,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",9,"negative",9,0.209302325581395
"anger","Before","AUT",13,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",2,"zero",9,0.209302325581395
"anger","Before","AUT",2,"negative",9,0.209302325581395
"anger","Before","AUT",20,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",18,"zero",9,0.209302325581395
"anger","Before","AUT",4,"positive",9,0.209302325581395
"anger","Before","AUT",4,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",15,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",12,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",9,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",14,"zero",9,0.209302325581395
"anger","Before","AUT",2,"negative",9,0.209302325581395
"anger","Before","AUT",2,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",2,"zero",9,0.209302325581395
"anger","Before","AUT",2,"positive",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",3,"positive",9,0.209302325581395
"anger","Before","AUT",3,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",17,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",6,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",21,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",8,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",9,"zero",9,0.209302325581395
"anger","Before","AUT",4,"negative",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",3,"zero",9,0.209302325581395
"anger","Before","AUT",2,"negative",9,0.209302325581395
"anger","Before","AUT",10,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",3,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",1,"positive",9,0.209302325581395
"anger","Before","AUT",7,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",4,"zero",9,0.209302325581395
"anger","Before","AUT",3,"negative",9,0.209302325581395
"anger","Before","AUT",5,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",1,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","AUT",9,"zero",9,0.209302325581395
"anger","Before","AUT",3,"positive",9,0.209302325581395
"anger","Before","AUT",2,"zero",9,0.209302325581395
"anger","Before","AUT",1,"negative",9,0.209302325581395
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",5,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",6,"zero",4,1.33333333333333
"anger","Before","BEL",3,"negative",4,1.33333333333333
"anger","Before","BEL",6,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",2,"negative",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",2,"positive",4,1.33333333333333
"anger","Before","BEL",8,"zero",4,1.33333333333333
"anger","Before","BEL",2,"negative",4,1.33333333333333
"anger","Before","BEL",17,"zero",4,1.33333333333333
"anger","Before","BEL",2,"positive",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",4,"zero",4,1.33333333333333
"anger","Before","BEL",2,"positive",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",2,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",3,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",3,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",2,"negative",4,1.33333333333333
"anger","Before","BEL",8,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",8,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",2,"negative",4,1.33333333333333
"anger","Before","BEL",3,"zero",4,1.33333333333333
"anger","Before","BEL",4,"positive",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",12,"zero",4,1.33333333333333
"anger","Before","BEL",2,"negative",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",3,"positive",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",4,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",3,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",2,"negative",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",2,"negative",4,1.33333333333333
"anger","Before","BEL",7,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",4,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",4,"zero",4,1.33333333333333
"anger","Before","BEL",2,"positive",4,1.33333333333333
"anger","Before","BEL",3,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",4,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",6,"zero",4,1.33333333333333
"anger","Before","BEL",2,"positive",4,1.33333333333333
"anger","Before","BEL",3,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",4,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",2,"positive",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",2,"positive",4,1.33333333333333
"anger","Before","BEL",6,"zero",4,1.33333333333333
"anger","Before","BEL",3,"negative",4,1.33333333333333
"anger","Before","BEL",3,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",17,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",7,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",3,"positive",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",13,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",9,"zero",4,1.33333333333333
"anger","Before","BEL",4,"positive",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",2,"positive",4,1.33333333333333
"anger","Before","BEL",16,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",6,"zero",4,1.33333333333333
"anger","Before","BEL",2,"positive",4,1.33333333333333
"anger","Before","BEL",7,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",2,"positive",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",2,"negative",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",2,"positive",4,1.33333333333333
"anger","Before","BEL",4,"zero",4,1.33333333333333
"anger","Before","BEL",1,"positive",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",5,"zero",4,1.33333333333333
"anger","Before","BEL",3,"negative",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",3,"zero",4,1.33333333333333
"anger","Before","BEL",4,"positive",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",2,"zero",4,1.33333333333333
"anger","Before","BEL",1,"negative",4,1.33333333333333
"anger","Before","BEL",1,"zero",4,1.33333333333333
"anger","Before","CAN",1,"negative",9,1
"anger","Before","CAN",10,"zero",9,1
"anger","Before","CAN",3,"negative",9,1
"anger","Before","CAN",5,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",4,"zero",9,1
"anger","Before","CAN",2,"negative",9,1
"anger","Before","CAN",1,"zero",9,1
"anger","Before","CAN",1,"negative",9,1
"anger","Before","CAN",1,"zero",9,1
"anger","Before","CAN",3,"negative",9,1
"anger","Before","CAN",1,"zero",9,1
"anger","Before","CAN",1,"negative",9,1
"anger","Before","CAN",1,"zero",9,1
"anger","Before","CAN",1,"negative",9,1
"anger","Before","CAN",1,"zero",9,1
"anger","Before","CAN",3,"negative",9,1
"anger","Before","CAN",1,"zero",9,1
"anger","Before","CAN",4,"negative",9,1
"anger","Before","CAN",10,"zero",9,1
"anger","Before","CAN",1,"negative",9,1
"anger","Before","CAN",6,"zero",9,1
"anger","Before","CAN",2,"negative",9,1
"anger","Before","CAN",2,"zero",9,1
"anger","Before","CAN",2,"negative",9,1
"anger","Before","CAN",5,"zero",9,1
"anger","Before","CAN",2,"positive",9,1
"anger","Before","CAN",28,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",14,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",12,"zero",9,1
"anger","Before","CAN",1,"negative",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",2,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",3,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",5,"zero",9,1
"anger","Before","CAN",2,"negative",9,1
"anger","Before","CAN",14,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",5,"zero",9,1
"anger","Before","CAN",1,"negative",9,1
"anger","Before","CAN",13,"zero",9,1
"anger","Before","CAN",1,"negative",9,1
"anger","Before","CAN",33,"zero",9,1
"anger","Before","CAN",5,"positive",9,1
"anger","Before","CAN",1,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",4,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",34,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",17,"zero",9,1
"anger","Before","CAN",4,"positive",9,1
"anger","Before","CAN",2,"zero",9,1
"anger","Before","CAN",2,"positive",9,1
"anger","Before","CAN",4,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",3,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",6,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",10,"zero",9,1
"anger","Before","CAN",3,"positive",9,1
"anger","Before","CAN",37,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",4,"zero",9,1
"anger","Before","CAN",1,"negative",9,1
"anger","Before","CAN",1,"zero",9,1
"anger","Before","CAN",2,"positive",9,1
"anger","Before","CAN",3,"zero",9,1
"anger","Before","CAN",1,"negative",9,1
"anger","Before","CAN",1,"zero",9,1
"anger","Before","CAN",9,"positive",9,1
"anger","Before","CAN",1,"zero",9,1
"anger","Before","CAN",1,"positive",9,1
"anger","Before","CAN",12,"zero",9,1
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",3,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",4,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",3,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",2,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",11,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",11,"zero",9,4.5
"anger","Before","CHE",2,"negative",9,4.5
"anger","Before","CHE",2,"zero",9,4.5
"anger","Before","CHE",3,"negative",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",5,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",4,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",9,"zero",9,4.5
"anger","Before","CHE",2,"negative",9,4.5
"anger","Before","CHE",16,"zero",9,4.5
"anger","Before","CHE",2,"negative",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",3,"negative",9,4.5
"anger","Before","CHE",9,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",12,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",28,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",6,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",3,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",25,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",25,"zero",9,4.5
"anger","Before","CHE",4,"positive",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",4,"positive",9,4.5
"anger","Before","CHE",4,"zero",9,4.5
"anger","Before","CHE",1,"positive",9,4.5
"anger","Before","CHE",34,"zero",9,4.5
"anger","Before","CHE",1,"positive",9,4.5
"anger","Before","CHE",21,"zero",9,4.5
"anger","Before","CHE",9,"positive",9,4.5
"anger","Before","CHE",4,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",8,"zero",9,4.5
"anger","Before","CHE",5,"positive",9,4.5
"anger","Before","CHE",6,"zero",9,4.5
"anger","Before","CHE",4,"positive",9,4.5
"anger","Before","CHE",2,"zero",9,4.5
"anger","Before","CHE",1,"positive",9,4.5
"anger","Before","CHE",2,"zero",9,4.5
"anger","Before","CHE",3,"positive",9,4.5
"anger","Before","CHE",4,"zero",9,4.5
"anger","Before","CHE",1,"positive",9,4.5
"anger","Before","CHE",4,"zero",9,4.5
"anger","Before","CHE",5,"positive",9,4.5
"anger","Before","CHE",3,"zero",9,4.5
"anger","Before","CHE",1,"positive",9,4.5
"anger","Before","CHE",15,"zero",9,4.5
"anger","Before","CHE",1,"negative",9,4.5
"anger","Before","CHE",2,"zero",9,4.5
"anger","Before","CHE",1,"positive",9,4.5
"anger","Before","CHE",2,"zero",9,4.5
"anger","Before","CHE",1,"positive",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",8,"positive",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",2,"positive",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",1,"positive",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",1,"positive",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",1,"positive",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",1,"positive",9,4.5
"anger","Before","CHE",2,"zero",9,4.5
"anger","Before","CHE",2,"positive",9,4.5
"anger","Before","CHE",2,"zero",9,4.5
"anger","Before","CHE",1,"positive",9,4.5
"anger","Before","CHE",4,"zero",9,4.5
"anger","Before","CHE",4,"positive",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",2,"positive",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",2,"positive",9,4.5
"anger","Before","CHE",1,"zero",9,4.5
"anger","Before","CHE",2,"positive",9,4.5
"anger","Before","CHE",6,"zero",9,4.5
"anger","Before","CHE",4,"positive",9,4.5
"anger","Before","CHE",2,"zero",9,4.5
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",4,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",4,"zero",52,5.77777777777778
"anger","Before","CHL",4,"negative",52,5.77777777777778
"anger","Before","CHL",4,"zero",52,5.77777777777778
"anger","Before","CHL",2,"negative",52,5.77777777777778
"anger","Before","CHL",21,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",2,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",9,"zero",52,5.77777777777778
"anger","Before","CHL",1,"positive",52,5.77777777777778
"anger","Before","CHL",3,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",1,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",5,"zero",52,5.77777777777778
"anger","Before","CHL",1,"positive",52,5.77777777777778
"anger","Before","CHL",19,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",1,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",7,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",4,"zero",52,5.77777777777778
"anger","Before","CHL",9,"negative",52,5.77777777777778
"anger","Before","CHL",3,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",1,"zero",52,5.77777777777778
"anger","Before","CHL",3,"negative",52,5.77777777777778
"anger","Before","CHL",3,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",7,"zero",52,5.77777777777778
"anger","Before","CHL",3,"negative",52,5.77777777777778
"anger","Before","CHL",9,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",3,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",5,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",2,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",3,"zero",52,5.77777777777778
"anger","Before","CHL",2,"negative",52,5.77777777777778
"anger","Before","CHL",1,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",2,"zero",52,5.77777777777778
"anger","Before","CHL",5,"negative",52,5.77777777777778
"anger","Before","CHL",12,"zero",52,5.77777777777778
"anger","Before","CHL",3,"negative",52,5.77777777777778
"anger","Before","CHL",8,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",1,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",1,"zero",52,5.77777777777778
"anger","Before","CHL",3,"negative",52,5.77777777777778
"anger","Before","CHL",5,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",7,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",15,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",7,"zero",52,5.77777777777778
"anger","Before","CHL",2,"negative",52,5.77777777777778
"anger","Before","CHL",2,"zero",52,5.77777777777778
"anger","Before","CHL",4,"negative",52,5.77777777777778
"anger","Before","CHL",5,"zero",52,5.77777777777778
"anger","Before","CHL",1,"negative",52,5.77777777777778
"anger","Before","CHL",5,"zero",52,5.77777777777778
"anger","Before","CHL",2,"negative",52,5.77777777777778
"anger","Before","CHL",2,"zero",52,5.77777777777778
"anger","Before","CHL",2,"negative",52,5.77777777777778
"anger","Before","CHL",3,"zero",52,5.77777777777778
"anger","Before","CHL",2,"negative",52,5.77777777777778
"anger","Before","CHL",2,"zero",52,5.77777777777778
"anger","Before","CHL",2,"negative",52,5.77777777777778
"anger","Before","CHL",1,"zero",52,5.77777777777778
